Product,Category,Sales,Region
Eco-Friendly Water Bottle,Kitchen & Dining,12450.5,North
Wireless Noise-Canceling Headphones,Electronics,48200.0,West
Organic Cotton T-Shirt,Apparel,8900.25,East
Ergonomic Office Chair,Office Supplies,27600.8,South
Stainless Steel Cookware Set,Kitchen & Dining,31500.0,West
Smart Fitness Watch,Electronics,19850.75,North
Bamboo Cutting Board,Kitchen & Dining,4320.1,East
Mechanical Gaming Keyboard,Electronics,15400.9,South
Hydroponic Indoor Garden,Home & Garden,8750.6,West
Leather Minimalist Wallet,Apparel,6200.4,North
Portable Bluetooth Speaker,Electronics,22100.3,East
Ceramic Coffee Mug Set,Kitchen & Dining,3100.15,South